Crystal_rise,Crystal_weight,Real_growth_rate,liquid_inlet_distance,diameter
0.9746934370561078,0.0007587722447466305,0.13701244038840255,0.9775424260227792,0.951408122844839
0.9752065485174004,0.0007196958102681783,0.13926211978215086,0.978141207882192,0.9544697740848846
0.9610709450461647,0.0005112118758033024,0.14151199158775363,0.9787595152370205,0.9576418972768579
0.94911582253196,0.0005838150900832062,0.14371337560621722,0.9791149793843312,0.9593068674099925
0.9175462202592328,0.0008485107330035435,0.14578661333010068,0.9797112579751011,0.9614531796195251
0.886687538840554,0.0008592381582812891,0.14784253398714853,0.9801778672501624,0.962944550970974
0.8721847534179688,0.0006623398431164218,0.14974625686790022,0.9810134583232053,0.9661798009926486
0.8685402610085227,0.0003378566833146801,0.1516330475055243,0.981826019324733,0.9688784729620181
0.842472423206676,3.43277608894077e-07,0.15350078936962985,0.9825094116642805,0.9711904930994706
0.8371296275745737,0.0,0.15526539848013865,0.9833642779058753,0.9745283242194205
0.8465842507102272,0.00028486320244253127,0.1569936417502933,0.9843438069258934,0.9790655651034967
0.8492220791903409,0.0008333636085113283,0.158689175005315,0.9849325757107341,0.981993071830459
0.8467867764559658,0.0003695383459683399,0.16039298197004692,0.9857596556703914,0.985622864537703
0.8430197975852272,0.00042866791409934546,0.16205926862330244,0.9864280283980806,0.9879664480900487
0.8191938920454545,0.0004178832758867934,0.1636913059665952,0.9870708677856108,0.9897103267602461
0.7948752663352272,0.0005612016775976836,0.16518980948340278,0.9877998196144617,0.9914936596990742
0.77303203235973,0.0006194158387716753,0.16660230490159567,0.9885227635985687,0.9927561962929019
0.7505131114612926,0.0012441238740136806,0.1679732393593838,0.9891055245386664,0.9940818597164309
0.7304824829101562,0.0011219742581842496,0.169316274098382,0.9896752684818202,0.9954548682622146
0.7128645463423295,0.0010943118042013311,0.17069317332363543,0.990137872527052,0.9967805316857152
0.6947152571244672,0.0013672461097349875,0.1720477527738571,0.9907696975325531,0.9982640121835118
0.6788781599564986,0.0013330327747157755,0.1733463403746449,0.9914621016392153,0.999234587190017
0.6587155428799716,0.0012303355567233332,0.1746204916700096,0.99229368748243,0.9998816371943633
0.6385280262340198,0.0008327342662283743,0.17585769988945898,0.992975828187656,1.0
0.6123744617808948,0.0005565102169428626,0.1770539243840652,0.9936599715077963,0.9994476402402199
0.5866370461203836,0.0009237600455186123,0.17818126543503832,0.9939333284436154,0.9992188054825988
0.5634375832297585,0.0015377978684176785,0.17923587480530312,0.9945125848076126,0.9987058999913074
0.5414559104225851,0.0018879982424186426,0.180201012663586,0.9950227509570622,0.9982166670612287
0.5198667352849786,0.0017576957833780882,0.18106455706310198,0.9955939968614016,0.9977353249848306
0.5005922490900212,0.0011650269916323175,0.18182900935795043,0.9961016597422081,0.9972303103473052
0.5005922490900212,0.0010920518932761303,0.18251322590979502,0.996786053389213,0.9965516969281225
0.48118424849076696,0.0013652436570164572,0.18315491944196705,0.9974999856062052,0.995888865216358
0.46326515891335235,0.001534508124665851,0.18376255607602943,0.9982189243604835,0.9958573018014931
0.45197635997425406,0.0014563838621763359,0.1843634582952114,0.9991566487941628,0.9960230097294129
0.44352694424715905,0.001431381809662291,0.18495531715726843,0.9997349038507031,0.9968752219302814
0.442877890846946,0.0015694080149028233,0.1855554497290357,0.9999231496526588,0.9968910036376997
0.4334652987393465,0.0018630247963720148,0.1861253736397681,0.9999999999999998,0.9962755170481898
0.4173119284889914,0.002143854486910124,0.1866187176327183,0.9999576947599327,0.9945789835002472
0.4007748690518466,0.001605194705629448,0.18708012125794982,0.9997784607250917,0.991588349943612
0.36722315007990053,0.0016688440956108275,0.18745859537422627,0.9995296358219743,0.9879980115049136
0.3259776722301136,0.002014124157217717,0.18770295842845686,0.999195699784994,0.9834528797670998
0.29095112193714484,0.0014981779110584958,0.18769372265947792,0.9989894304488083,0.9803833376733166
0.2606351679021662,0.0017850149597521403,0.18767467388595938,0.9987273382218833,0.9764615833787218
0.23228107799183234,0.002168885145891558,0.18756692324787316,0.99851831529019,0.9738260382391104
0.22840388904918324,0.0021347862367419868,0.1873883650476169,0.9980747360866451,0.9717270711518609
0.22478381070223724,0.0016874955123604152,0.18720249519691867,0.997698995463326,0.9704960979728412
0.2230438926003196,0.0020882721207375887,0.1870275928218832,0.9970138508357287,0.9694939595514995
0.22274891246448864,0.0019851744122014736,0.1868713543966587,0.9964235800897019,0.9690283991825197
0.22173142866654832,0.0016328142499112408,0.1867397446887109,0.9956976321832232,0.9675370278310709
0.20730798894708807,0.0014543957126915141,0.18662198863423152,0.9941416003947154,0.9646253028115268
0.18896997625177553,0.0013116494403287715,0.18643477190055746,0.9930138778710302,0.9614531796195251
0.1673225402832031,0.001519904523054394,0.18615981536158488,0.99201732662424,0.9577365875214241
0.14797335537997153,0.0017559364856325477,0.18581828432122371,0.9912117747749123,0.954209375912427
0.10061427029696374,0.0018073709140309924,0.18528203248489294,0.990430254304558,0.9507847454016201
0.09173032587224789,0.0018353194326879707,0.18451931189672832,0.9895483527616185,0.9490645392925217
0.09618495594371451,0.002026467847904001,0.18371060487552393,0.9889638395334706,0.9474626959890884
0.10069521123712716,0.0022761737019028616,0.18290670815066212,0.9882814485013804,0.9459949971987669
0.10470227328213783,0.0021201540286631126,0.1821459116810349,0.9872042920042847,0.9442590093822218
0.10840502652254974,0.0019249721015426602,0.1813976219818998,0.9859739354662349,0.9423730953452036
0.1117719476873224,0.001913329269307873,0.1806504867538865,0.9846857534225315,0.9401242020373957
0.1043331493030894,0.002196905180717079,0.1799031591140201,0.9839202538714928,0.9384039959282973
